"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","233","Should update user","firefox","2026-07-30","passed","2026-07-30","Employee API","api\updateUser.spec.ts","",""
"","165","Should update user","webkit","2026-07-30","passed","2026-07-30","Employee API","api\updateUser.spec.ts","",""
"","16480","Should create a new employee","chromium","2026-07-30","passed","2026-07-30","Employee Management","ui\pim\createEmployee.spec.ts","",""
"","249","Should create user","firefox","2026-07-30","passed","2026-07-30","Employee API","api\createUser.spec.ts","",""
"","21144","Should create a new employee","webkit","2026-07-30","passed","2026-07-30","Employee Management","ui\pim\createEmployee.spec.ts","",""
"","14641","Should update employee last name","webkit","2026-07-30","passed","2026-07-30","Employee Management","ui\pim\updateEmployee.spec.ts","",""
"","260","Should create user","webkit","2026-07-30","passed","2026-07-30","Employee API","api\createUser.spec.ts","",""
"","229","Should delete user","webkit","2026-07-30","passed","2026-07-30","Employee API","api\deleteUser.spec.ts","",""
"","138","Should get user","firefox","2026-07-30","passed","2026-07-30","Employee API","api\getUser.spec.ts","",""
"","20578","Should delete employee","chromium","2026-07-30","passed","2026-07-30","Employee Management","ui\pim\deleteEmployee.spec.ts","",""
"","264","Should create user","chromium","2026-07-30","passed","2026-07-30","Employee API","api\createUser.spec.ts","",""
"","121","Should get user","chromium","2026-07-30","passed","2026-07-30","Employee API","api\getUser.spec.ts","",""
"","60","Should get user","webkit","2026-07-30","passed","2026-07-30","Employee API","api\getUser.spec.ts","",""
"","26132","Should update employee last name","firefox","2026-07-30","passed","2026-07-30","Employee Management","ui\pim\updateEmployee.spec.ts","",""
"","231","Should delete user","firefox","2026-07-30","passed","2026-07-30","Employee API","api\deleteUser.spec.ts","",""
"","21549","Should update employee last name","chromium","2026-07-30","passed","2026-07-30","Employee Management","ui\pim\updateEmployee.spec.ts","",""
"","22091","Should create a new employee","firefox","2026-07-30","passed","2026-07-30","Employee Management","ui\pim\createEmployee.spec.ts","",""
"","27691","Should delete employee","webkit","2026-07-30","passed","2026-07-30","Employee Management","ui\pim\deleteEmployee.spec.ts","",""
"","25450","Should delete employee","firefox","2026-07-30","passed","2026-07-30","Employee Management","ui\pim\deleteEmployee.spec.ts","",""
"","435","Should delete user","chromium","2026-07-30","passed","2026-07-30","Employee API","api\deleteUser.spec.ts","",""
"","455","Should update user","chromium","2026-07-30","passed","2026-07-30","Employee API","api\updateUser.spec.ts","",""
